scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Hirundapus caudacutus,urn:lsid:biodiversity.org.au:afd.taxon:21205690-54fd-452a-9772-d3e1f8780dff,dr571,Western Australia,Australia,
HIRUNDINIDAE,urn:lsid:biodiversity.org.au:afd.taxon:0a7c8077-bf73-421b-b780-427964fac49e,dr1411,Western Australia,Australia,
HIRUNDINIDAE,urn:lsid:biodiversity.org.au:afd.taxon:0a7c8077-bf73-421b-b780-427964fac49e,dr1902,Western Australia,Australia,
HIRUNDINIDAE,urn:lsid:biodiversity.org.au:afd.taxon:0a7c8077-bf73-421b-b780-427964fac49e,dr2009,Western Australia,Australia,
HIRUNDINIDAE,urn:lsid:biodiversity.org.au:afd.taxon:0a7c8077-bf73-421b-b780-427964fac49e,dr359,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr1902,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr2009,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr341,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr348,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr359,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr570,Western Australia,Australia,
Hirundo (Hirundo) rustica,urn:lsid:biodiversity.org.au:afd.taxon:74f95440-3b37-4f39-9737-be38d71676d8,dr571,Western Australia,Australia,
Histiopteris incisa,https://id.biodiversity.org.au/node/apni/2903289,dr15865,South Australia,Australia,
Histiopteris incisa,https://id.biodiversity.org.au/node/apni/2903289,dr366,South Australia,Australia,
Histiopteris incisa,https://id.biodiversity.org.au/node/apni/2903289,dr376,South Australia,Australia,
Homalocalyx chapmanii,https://id.biodiversity.org.au/node/apni/2912075,dr15860,Western Australia,Australia,
Homalocalyx chapmanii,https://id.biodiversity.org.au/node/apni/2912075,dr15863,Western Australia,Australia,
Homalocalyx echinulatus,https://id.biodiversity.org.au/node/apni/2904232,dr15860,Western Australia,Australia,
Homalocalyx echinulatus,https://id.biodiversity.org.au/node/apni/2904232,dr15863,Western Australia,Australia,
Homalocalyx echinulatus,https://id.biodiversity.org.au/node/apni/2904232,dr15865,Western Australia,Australia,
Homalocalyx ericaeus,https://id.biodiversity.org.au/node/apni/2896068,dr15863,Western Australia,Australia,
Homalocalyx grandiflorus,https://id.biodiversity.org.au/node/apni/2891066,dr15860,Western Australia,Australia,
Homalocalyx grandiflorus,https://id.biodiversity.org.au/node/apni/2891066,dr15863,Western Australia,Australia,
Homalocalyx grandiflorus,https://id.biodiversity.org.au/node/apni/2891066,dr8212,Western Australia,Australia,
Homalocalyx inerrabundus,https://id.biodiversity.org.au/node/apni/2895157,dr15860,Western Australia,Australia,
